AQ Daily index (https://uk-air.defra.gov.uk//air-pollution/daqi?view=more-info) data from UK-AIR website,
Date,Greater London
01/01/2017,3
02/01/2017,2
03/01/2017,3
04/01/2017,3
05/01/2017,4
06/01/2017,4
07/01/2017,2
08/01/2017,3
09/01/2017,3
10/01/2017,3
11/01/2017,3
12/01/2017,3
13/01/2017,3
14/01/2017,2
15/01/2017,2
16/01/2017,3
17/01/2017,3
18/01/2017,6
19/01/2017,5
20/01/2017,3
21/01/2017,4
22/01/2017,10
23/01/2017,10
24/01/2017,7
25/01/2017,4
26/01/2017,6
27/01/2017,7
28/01/2017,3
29/01/2017,3
30/01/2017,3
31/01/2017,3
01/02/2017,3
02/02/2017,3
03/02/2017,3
04/02/2017,3
05/02/2017,2
06/02/2017,3
07/02/2017,3
08/02/2017,3
09/02/2017,3
10/02/2017,5
11/02/2017,5
12/02/2017,5
13/02/2017,6
14/02/2017,4
15/02/2017,3
16/02/2017,3
17/02/2017,3
18/02/2017,3
19/02/2017,3
20/02/2017,3
21/02/2017,3
22/02/2017,3
23/02/2017,3
24/02/2017,3
25/02/2017,3
26/02/2017,3
27/02/2017,3
28/02/2017,3
01/03/2017,3
02/03/2017,3
03/03/2017,3
04/03/2017,3
05/03/2017,3
06/03/2017,3
07/03/2017,3
08/03/2017,3
09/03/2017,3
10/03/2017,3
11/03/2017,3
12/03/2017,3
13/03/2017,3
14/03/2017,3
15/03/2017,3
16/03/2017,3
17/03/2017,3
18/03/2017,3
19/03/2017,3
20/03/2017,3
21/03/2017,3
22/03/2017,3
23/03/2017,2
24/03/2017,3
25/03/2017,3
26/03/2017,3
27/03/2017,4
28/03/2017,5
29/03/2017,3
30/03/2017,3
31/03/2017,3
01/04/2017,3
02/04/2017,3
03/04/2017,3
04/04/2017,3
05/04/2017,3
06/04/2017,3
07/04/2017,3
08/04/2017,4
09/04/2017,4
10/04/2017,3
11/04/2017,3
12/04/2017,3
13/04/2017,3
14/04/2017,3
15/04/2017,3
16/04/2017,3
17/04/2017,3
18/04/2017,3
19/04/2017,3
20/04/2017,3
21/04/2017,3
22/04/2017,3
23/04/2017,3
24/04/2017,3
25/04/2017,3
26/04/2017,2
27/04/2017,3
28/04/2017,3
29/04/2017,3
30/04/2017,3
01/05/2017,3
02/05/2017,3
03/05/2017,3
04/05/2017,3
05/05/2017,3
06/05/2017,3
07/05/2017,3
08/05/2017,3
09/05/2017,3
10/05/2017,3
11/05/2017,4
12/05/2017,3
13/05/2017,3
14/05/2017,3
15/05/2017,3
16/05/2017,3
17/05/2017,3
18/05/2017,3
19/05/2017,3
20/05/2017,3
21/05/2017,3
22/05/2017,4
23/05/2017,3
24/05/2017,3
25/05/2017,3
26/05/2017,4
27/05/2017,3
28/05/2017,3
29/05/2017,3
30/05/2017,3
31/05/2017,3
01/06/2017,3
02/06/2017,4
03/06/2017,3
04/06/2017,3
05/06/2017,3
06/06/2017,3
07/06/2017,4
08/06/2017,4
09/06/2017,3
10/06/2017,3
11/06/2017,3
12/06/2017,3
13/06/2017,3
14/06/2017,4
15/06/2017,3
16/06/2017,3
17/06/2017,3
18/06/2017,5
19/06/2017,6
20/06/2017,4
21/06/2017,7
22/06/2017,6
23/06/2017,3
24/06/2017,2
25/06/2017,2
26/06/2017,3
27/06/2017,3
28/06/2017,2
29/06/2017,4
30/06/2017,2
01/07/2017,3
02/07/2017,3
03/07/2017,3
04/07/2017,3
05/07/2017,4
06/07/2017,5
07/07/2017,4
08/07/2017,3
09/07/2017,4
10/07/2017,3
11/07/2017,3
12/07/2017,2
13/07/2017,4
14/07/2017,3
15/07/2017,3
16/07/2017,2
17/07/2017,3
18/07/2017,4
19/07/2017,3
20/07/2017,3
21/07/2017,3
22/07/2017,2
23/07/2017,2
24/07/2017,2
25/07/2017,3
26/07/2017,3
27/07/2017,3
28/07/2017,2
29/07/2017,3
30/07/2017,2
31/07/2017,3
01/08/2017,3
02/08/2017,2
03/08/2017,2
04/08/2017,3
05/08/2017,2
06/08/2017,3
07/08/2017,2
08/08/2017,2
09/08/2017,2
10/08/2017,2
11/08/2017,3
12/08/2017,2
13/08/2017,3
14/08/2017,3
15/08/2017,3
16/08/2017,3
17/08/2017,3
18/08/2017,2
19/08/2017,2
20/08/2017,2
21/08/2017,2
22/08/2017,2
23/08/2017,3
24/08/2017,2
25/08/2017,3
26/08/2017,3
27/08/2017,3
28/08/2017,4
29/08/2017,3
30/08/2017,2
31/08/2017,2
01/09/2017,2
02/09/2017,3
03/09/2017,3
04/09/2017,2
05/09/2017,3
06/09/2017,2
07/09/2017,3
08/09/2017,3
09/09/2017,2
10/09/2017,2
11/09/2017,3
12/09/2017,3
13/09/2017,3
14/09/2017,2
15/09/2017,3
16/09/2017,2
17/09/2017,2
18/09/2017,2
19/09/2017,3
20/09/2017,3
21/09/2017,3
22/09/2017,3
23/09/2017,2
24/09/2017,3
25/09/2017,4
26/09/2017,4
27/09/2017,5
28/09/2017,3
29/09/2017,3
30/09/2017,2
01/10/2017,2
02/10/2017,4
03/10/2017,2
04/10/2017,3
05/10/2017,2
06/10/2017,2
07/10/2017,2
08/10/2017,2
09/10/2017,3
10/10/2017,2
11/10/2017,3
12/10/2017,3
13/10/2017,2
14/10/2017,2
15/10/2017,3
16/10/2017,3
17/10/2017,3
18/10/2017,3
19/10/2017,3
20/10/2017,3
21/10/2017,3
22/10/2017,3
23/10/2017,2
24/10/2017,2
25/10/2017,3
26/10/2017,2
27/10/2017,3
28/10/2017,2
29/10/2017,2
30/10/2017,3
31/10/2017,3
01/11/2017,3
02/11/2017,4
03/11/2017,5
04/11/2017,3
05/11/2017,2
06/11/2017,3
07/11/2017,3
08/11/2017,2
09/11/2017,2
10/11/2017,2
11/11/2017,2
12/11/2017,2
13/11/2017,2
14/11/2017,3
15/11/2017,3
16/11/2017,2
17/11/2017,3
18/11/2017,2
19/11/2017,2
20/11/2017,3
21/11/2017,3
22/11/2017,3
23/11/2017,4
24/11/2017,3
25/11/2017,2
26/11/2017,3
27/11/2017,2
28/11/2017,2
29/11/2017,3
30/11/2017,2
01/12/2017,2
02/12/2017,3
03/12/2017,2
04/12/2017,2
05/12/2017,3
06/12/2017,4
07/12/2017,2
08/12/2017,2
09/12/2017,3
10/12/2017,2
11/12/2017,3
12/12/2017,3
13/12/2017,3
14/12/2017,3
15/12/2017,2
16/12/2017,2
17/12/2017,2
18/12/2017,3
19/12/2017,3
20/12/2017,3
21/12/2017,3
22/12/2017,2
23/12/2017,2
24/12/2017,2
25/12/2017,3
26/12/2017,3
27/12/2017,3
28/12/2017,3
29/12/2017,3
30/12/2017,3
31/12/2017,3
01/01/2018,3
,
End of file ,
